timestamp,simple-path,time
2021-09-05 11:26:36.926,/master/welcome,660
2021-09-05 11:26:37.454,/master/welcome,459
2021-09-05 11:26:38.338,/master/sign-in,649
2021-09-05 11:26:39.733,/master/welcome,614
2021-09-05 11:26:44.834,/master/welcome,586
2021-09-05 11:26:45.691,/master/welcome,698
2021-09-05 11:26:46.498,/master/welcome,555
2021-09-05 11:26:47.347,/master/welcome,729
2021-09-05 11:26:48.872,/master/sign-in,1257
2021-09-05 11:26:50.224,/master/welcome,596
2021-09-05 11:26:51.209,/manager/workplan/list-mine,730
2021-09-05 11:26:52.107,/manager/workplan/show,619
2021-09-05 11:26:55.745,/manager/workplan/update,637
2021-09-05 11:26:57.199,/manager/workplan/list-mine,1224
2021-09-05 11:26:58.121,/manager/workplan/show,652
