timestamp,simple-path,time
2021-09-05 11:25:03.93,/master/welcome,485
2021-09-05 11:25:04.488,/master/welcome,476
2021-09-05 11:25:05.378,/master/sign-in,633
2021-09-05 11:25:06.841,/master/welcome,614
2021-09-05 11:25:11.559,/master/welcome,715
2021-09-05 11:25:12.381,/master/welcome,656
2021-09-05 11:25:13.204,/master/welcome,581
2021-09-05 11:25:13.689,/master/welcome,425
2021-09-05 11:25:14.466,/master/sign-in,627
2021-09-05 11:25:15.929,/master/welcome,633
2021-09-05 11:25:17.405,/manager/workplan/list-mine,1201
2021-09-05 11:25:18.246,/manager/workplan/show,607
2021-09-05 11:25:52.197,/manager/workplan/update,1255
2021-09-05 11:25:53.086,/manager/workplan/list-mine,690
2021-09-05 11:25:53.922,/manager/workplan/show,590
