timestamp,test-class,test-method,time,description,result
2021-09-04 19:53:25.213,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,10340,"[1] index=0, title=Create ShoutValidators, executionStart=2022/08/13 19:39, executionEnd=2023/10/13 19:39, workload=98.56, description=Create validators of task entity, link=https://github.com/task25, isPublic=true",OK
2021-09-04 19:53:34.826,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,9181,"[2] index=0, title=Create ShoutService, executionStart=2022/02/13 19:39, executionEnd=2022/05/14 19:39, workload=98.57, description=Create service of task entity, link=https://github.com/task24, isPublic=false",OK
2021-09-04 19:53:44.504,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,9280,"[3] index=0, title=Create ShoutQueries, executionStart=2022/02/13 19:39, executionEnd=2022/04/14 19:39, workload=98.58, description=Create changes of task entity, link=https://github.com/task62, isPublic=false",OK
2021-09-04 19:53:53.879,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,8974,"[4] index=0, title=a, executionStart=2022/01/13 19:39, executionEnd=2022/03/14 19:39, workload=98.59, description=a, link=https://github.com/task25, isPublic=false",OK
2021-09-04 19:54:04.611,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,10354,"[5] index=17, title=Estetitulotiene80palabraspruebapruebapruebapruebapruebapruebapruebapruebapruebaa, executionStart=2022/01/13 19:39, executionEnd=2022/03/14 19:39, workload=0.0, description=Estetitulotiene500palabraspruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebaprueba, link=https://github.com/task62, isPublic=false",OK
2021-09-04 19:54:10.931,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5918,"[1] recordIndex=0, title=null, executionStart=null, executionEnd=null, workload=null, description=null, link=null, isPublic=false",OK
2021-09-04 19:54:17.477,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6092,"[2] recordIndex=1, title=million dollar, executionStart=a, executionEnd=a, workload=a, description=sex, link=http://sex.com, isPublic=false",OK
2021-09-04 19:54:24.307,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6202,"[3] recordIndex=2, title=Create ShoutQueries, executionStart=2023/04/14 19:39, executionEnd=2022/04/13 19:39, workload=-1, description=Create changes of task entity, link=github, isPublic=true",OK
2021-09-04 19:54:31.519,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6819,"[4] recordIndex=3, title=Create ShoutQueries, executionStart=2023/04/13 19:39, executionEnd=2023/04/13 20:39, workload=99.54, description=Create changes of task entity, link=https://github.com/task1, isPublic=false",OK
2021-09-04 19:54:38.716,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6653,"[5] recordIndex=4, title=Create ShoutQueries, executionStart=2024/04/13 19:39, executionEnd=2026/04/14 19:39, workload=14.233, description=Create changes of task entity, link=https://github.com/task1, isPublic=false",OK
2021-09-04 19:54:45.02,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5945,"[6] recordIndex=5, title=Create ShoutQueries, executionStart=2021/04/13 19:39, executionEnd=2021/04/14 19:39, workload=1.69, description=Create changes of task entity, link=https://github.com/task1, isPublic=false",OK
2021-09-04 19:54:51.538,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6146,"[7] recordIndex=6, title=ddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd, executionStart=2024/04/13 19:39, executionEnd=2026/04/14 19:39, workload=100.59, description=ddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd…, link=https://github.com/task1, isPublic=false",OK
